abstract,authors,citation,title,url
"AbstractOBJECTIVE: By using questionnaire method to understand the evaluation regarding cost-effectiveness of acupuncture for migraine in both doctors and patients.METHODS: By using questionnaire method, questionnaires for doctors and patients were made respectively; by using network platform, two sets of questionnaires were publicly released, which were filled in online. The results were real-time background collected and then analyzed.RESULTS: Totally 696 effective questionnaires for patients and 114 questionnaires for doctors were collected. The results indicated that (1)the direct cost (including treatment fee and material fee) for preventive treatment of migraine was 109 yuan per time in regular acupuncture, 152 yuan per time in regular acupuncture + electroacupuncture (EA) and 238 yuan per time in acupoint catgut embedding. The travelling expense was 42 yuan per time within the city and 193 yuan per time between cities. The indirect cost included cost for loss of working time (208 yuan per time), cost for treatment time (acupoint catgut embedding: 10 to 30 min per time, once one to three weeks; the remaining two treatments: 20 to 50 min per time, once to 5 times every week), time cost for arriving and departing hospital (1 to 3 hours per time within the city and 4 hours per time between cities). From the angle of treatment course, acupoint catgut embedding reduced the treatment frequency, leading to a lower total cost. (2)A mong the reasons to select different acupuncture methods to treat migraine, the results of patient questionnaire indicated that the focus in the patients who selected acupoint catgut embedding was different from that in the patients who selected two other treatments. The main advantage of acupoint catgut embedding was superior and lasting efficacy with low cost. The results of doctor questionnaire indicated the main reason to select acupoint catgut embedding was ""lasting efficacy after single treatment"" (87. 5%) and ""lower frequency of treatment"" (75. 0%). (3) The main reason to obstruct the popularization of acupoint catgut embedding was this method was not widely known.CONCLUSION: The acupoint catgut embedding is one ideal preventive treatment for migraine, which has higher cost-effectiveness, however, currently it is not widely applied. In future advertisement and training program should be strengthened to perform targeted popularization of acupoint catgut embedding for migraine.","Wang J, Wu Z, Huo J, Yuan Y",Zhongguo Zhen Jiu. 2015 Apr;35(4):377-83.,[Questionnaire investigation on cost-effectiveness analysis of acupuncture for migraine].,https://www.ncbi.nlm.nih.gov/pubmed/26054150
"AbstractOBJECTIVE: To observe the effect of acupuncture along affected meridian on the mem- brane metallo-endopeptidase (MME) gene expression of migraine patients without aura (MO) of Gan-yang hyperactivity syndrome (GYHS).METHODS: Totally 20 MO patients of GYHS were randomly assigned to the acupoint group (acupuncture along affected meridian) and the non-acupoint group, 10 cases in each group. Needling was performed once per day for 10 consecutive days. Gene chip technology was used to obtain two sets of gene expression profiles and analyzed using Gene Ontology (GO).RESULTS: In the acupoint group, MME gene expression decreased after needling (P = 0.0023).That gene was rich in the beta-amyloid metabolic process (P = 3.16E-05) and the peptide metabolic process (P = 0.009612). Its expression was not seen in the non-acupoint group.CONCLUSION: The effect of point selection along affected meridian could be achieved possibly by regulating the MME gene expression.","Huang YL, Wan MY, Liang XS, Liang FR",Zhongguo Zhong Xi Yi Jie He Za Zhi. 2015 Mar;35(3):294-8.,[Effect of acupuncture along affected meridian on the MME gene expression of migraine patients without aura of gan-yang hyperactivity syndrome].,https://www.ncbi.nlm.nih.gov/pubmed/25951633
"AbstractINTRODUCTION: Multiple interventions are effective for migraine prophylaxis. However, the comparative effectiveness of these interventions is still not clear. Therefore, the aim of this study is to summarise the direct and indirect evidence for pharmacological and non-pharmacological interventions to prevent migraine attack.METHODS AND ANALYSIS: We will perform an umbrella systematic review to identify eligible randomised controlled trials (RCTs) for the recommended interventions for migraine prophylaxis according to the guidelines. A comprehensive literature search will be conducted in MEDLINE, EMBASE and the Cochrane library for systematic reviews, which will be screened for RCTs. We will describe the general information of the RCTs for participants, interventions, outcome measurements, comparisons and the primary findings. Additionally, a network meta-analysis will be conducted to determine the comparative effectiveness of the treatments with a random-effects model. The absolute and relative effectiveness of the treatments will be provided. The heterogeneity and inconsistency between trials will be assessed by the I(2) statistical test and Cochrane's Q test. Risk of bias will be assessed and the overall strength of the evidence will be summarised.DISCUSSION: The result of this network meta-analysis will provide direct and indirect evidence of treatments for migraine prophylaxis, and it may provide a ranking of the treatments for patients and clinicians to help them select the best option.TRIAL REGISTRATION NUMBER: PROSPERO CRD42015015297.Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://group.bmj.com/group/rights-licensing/permissions.","Zheng H, Chen M, Huang D, Li J, Chen Q, Fang J",BMJ Open. 2015 May 6;5(5):e007594. doi: 10.1136/bmjopen-2015-007594.,Interventions for migraine prophylaxis: protocol of an umbrella systematic review and network meta-analysis.,https://www.ncbi.nlm.nih.gov/pubmed/25948410
"AbstractBACKGROUND: This is an updated version of the Cochrane review published in 2005 on selective serotonin re-uptake inhibitors (SSRIs) for preventing migraine and tension-type headache. The original review has been split in two parts and this review now only regards tension-type headache prevention. Another updated review covers migraine. Tension-type headache is the second most common disorder worldwide and has high social and economic relevance. As serotonin and other neurotransmitters may have a role in pain mechanisms, SSRIs and serotonin-norepinephrine reuptake inhibitors (SNRIs) have been evaluated for the prevention of tension-type headache.OBJECTIVES: To determine the efficacy and tolerability of SSRIs and SNRIs compared to placebo and other active interventions in the prevention of episodic and chronic tension-type headache in adults.SEARCH METHODS: For the original review, we searched the Cochrane Central Register of Controlled Trials (CENTRAL 2003, Issue 4), MEDLINE (1966 to January 2004), EMBASE (1994 to May 2003), and Headache Quarterly (1990 to 2003). For this update, we revised the original search strategy to reflect the broader type of intervention (SSRIs and SNRIs). We searched CENTRAL (2014, Issue 10) on the Cochrane Library, MEDLINE (1946 to November 2014), EMBASE (1980 to November 2014), and PsycINFO (1987 to November 2014). We also checked the reference lists of retrieved articles and searched trial registries for ongoing trials.SELECTION CRITERIA: We included randomised controlled trials comparing SSRIs or SNRIs with any type of control intervention in participants 18 years and older, of either sex, with tension-type headache.DATA COLLECTION AND ANALYSIS: Two authors independently extracted data (headache frequency, index, intensity, and duration; use of symptomatic/analgesic medication; quality of life; and withdrawals) and assessed the risk of bias of trials. The primary outcome is tension-type headache frequency, measured by the number of headache attacks or the number of days with headache per evaluation period.MAIN RESULTS: The original review included six studies on tension-type headache. We now include eight studies with a total of 412 participants with chronic forms of tension-type headache. These studies evaluated five SSRIs (citalopram, sertraline, fluoxetine, paroxetine, fluvoxamine) and one SNRI (venlafaxine). The two new studies included in this update are placebo controlled trials, one evaluated sertraline and one venlafaxine. Six studies, already included in the previous version of this review, compared SSRIs to other antidepressants (amitriptyline, desipramine, sulpiride, mianserin). Most of the included studies had methodological and/or reporting shortcomings and lacked adequate power. Follow-up ranged between two and four months.Six studies explored the effect of SSRIs or SNRIs on tension-type headache frequency, the primary endpoint. At eight weeks of follow-up, we found no difference when compared to placebo (two studies, N = 127; mean difference (MD) -0.96, 95% confidence interval (CI) -3.95 to 2.03; I(2)= 0%) or amitriptyline (two studies, N = 152; MD 0.76, 95% CI -2.05 to 3.57; I(2)= 44%).When considering secondary outcomes, SSRIs reduce the symptomatic/analgesic medication use for acute headache attacks compared to placebo (two studies, N = 118; MD -1.87, 95% CI -2.09 to -1.65; I(2)= 0%). However, amitriptyline appeared to reduce the intake of analgesic more efficiently than SSRIs (MD 4.98, 95% CI 1.12 to 8.84; I(2)= 0%). The studies supporting these findings were considered at unclear risk of bias. We found no differences compared to placebo or other antidepressants in headache duration and intensity.SSRIs or SNRI were generally more tolerable than tricyclics. However, the two groups did not differ in terms of number of participants who withdrew due to adverse events or for other reasons (four studies, N = 257; odds ratio (OR) 1.04; 95% CI 0.41 to 2.60; I(2)= 25% and OR 1.55, 95% CI 0.71 to 3.38; I(2)= 0%).We did not find any study comparing SSRIs or SNRIs with pharmacological treatments other than antidepressants (e.g. botulinum toxin) or non-drug therapies (e.g. psycho-behavioural treatments, manual therapy, acupuncture).AUTHORS' CONCLUSIONS: Since the last version of this review, the new included studies have not added high quality evidence to support the use of SSRIs or venlafaxine (a SNRI) as preventive drugs for tension-type headache. Over two months of treatment, SSRIs or venlafaxine are no more effective than placebo or amitriptyline in reducing headache frequency in patients with chronic tension-type headache. SSRIs seem to be less effective than tricyclic antidepressants in terms of intake of analgesic medications. Tricyclic antidepressants are associated with more adverse events; however, this did not cause a greater number of withdrawals. No reliable information is available at longer follow-up. Our conclusion is that the use of SSRIs and venlafaxine for the prevention of chronic tension-type headache is not supported by evidence.","Banzi R, Cusi C, Randazzo C, Sterzi R, Tedesco D, Moja L",Cochrane Database Syst Rev. 2015 May 1;(5):CD011681. doi: 10.1002/14651858.CD011681.,Selective serotonin reuptake inhibitors (SSRIs) and serotonin-norepinephrine reuptake inhibitors (SNRIs) for the prevention of tension-type headache in adults.,https://www.ncbi.nlm.nih.gov/pubmed/25931277
"AbstractBACKGROUND: Functional and structural abnormalities in resting-state brain networks in migraine patients have been confirmed by previous functional magnetic resonance imaging (fMRI) studies. However, few studies focusing on the neural responses of therapeutic treatment on migraine have been conducted. In this study, we tried to examined the treatment-related effects of standard acupuncture treatment on the right frontoparietal network (RFPN) in migraine patients.METHODS: A total of 12 migraine without aura (MWoA) patients were recruited to undergo resting-state fMRI scanning and were rescanned after 4 weeks standard acupuncture treatment. Another 12 matched healthy control (HC) subjects underwent once scanning for comparison. We analyzed the functional connectivity of the RFPN between MWoA patients and HC subjects before treatment and that of the MWoA patients before and after treatment. Diffusion tensor images (DTI) data analyzing was also performed to detect fiber-related treatment responses.RESULTS: We observed significantly decreased FC in the RFPN and that the decreased FC could be reversed by acupuncture treatment. The changes of FC in MWoA patients was negatively correlated with the decrease of visual analogue scale (VAS) scores after treatment. This study indicated that acupuncture treatment for MWoA patients was associated with normalizing effects on the intrinsic decreased FC of the RFPN.CONCLUSIONS: Our study provided new insights into the treatment-related neural responses in MWoA patients and suggested potential functional pathways for the evaluation of treatment in MWoA patients. Future studies are still in need to confirm the current results and to elucidate the complex neural mechanisms of acupuncture treatment.","Li K, Zhang Y, Ning Y, Zhang H, Liu H, Fu C, Ren Y, Zou Y",J Headache Pain. 2015;16:518. doi: 10.1186/s10194-015-0518-4. Epub  2015 Apr 18.,The effects of acupuncture treatment on the right frontoparietal network in migraine without aura patients.,https://www.ncbi.nlm.nih.gov/pubmed/25916336
"AbstractINTRODUCTION: Acupuncture has been used worldwide for migraine attacks. This systematic review aims to assess if acupuncture is effective and safe in relieving headache, preventing relapse and reducing migraine-associated symptoms for the treatment of acute migraine attacks in adults.METHODS AND ANALYSIS: We will search the following seven databases from inception to February 2015: MEDLINE (OVID), EMBASE, the Cochrane Central Register of Controlled Trials (CENTRAL) and four Chinese databases (Chinese Biomedical Database, China National Knowledge Infrastructure, Chinese Science and Technology Periodical Database and Wanfang Database). Any randomised controlled trials in English or Chinese related to acupuncture for acute migraine attacks will be included. Conference abstracts and reference lists of included manuscripts will also be searched. The study inclusion, data extraction and quality assessment will be conducted independently by two reviewers. Meta-analysis will be performed using RevMan V.5.3.5 statistical software.DISSEMINATION: The findings will be disseminated through peer-reviewed publication and/or conference presentations.TRIAL REGISTRATION NUMBER: PROSPERO CRD42014013352.Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://group.bmj.com/group/rights-licensing/permissions.","Du R, Wang Y, Liu X, Liu Z",BMJ Open. 2015 Apr 13;5(4):e006968. doi: 10.1136/bmjopen-2014-006968.,Acupuncture for acute migraine attacks in adults: a systematic review protocol.,https://www.ncbi.nlm.nih.gov/pubmed/25869688
"AbstractOBJECTIVE: To observe the differences in timely effectiveness of immediate analgesia on acute migraine between electroacupuncture (EA) at shaoyang meridian points and non-meridian points.METHODS: The randomized controlled trial method was adopted. One hundred and ten cases of acute migraine were randomized into two groups. 55 cases in each one. In the observation group, EA was applied to Fengchi (GB 20), Waiguan (TE 5), etc. In the control group. EA was applied to non-meridian points. Only one treatment was given, and the nee dies were retained for 30 min in the two groups. Separately. at 10 time points, named before acupuncture, in 5 min, 10 min. 20 min and 30 min (at the moment of needle removal), 1 h, 2 h, 4 h, 6 h and 8 h after acupuncture, the pain intensity numerical rating scale (PI-NRS) was adopted to evaluate the pain severity and the adverse reac tion was recorded.RESULTS: (1) The effective rate of imnmediate analgesia was 87. 3% (48/55) in the observation group. significantly higher than 52.7% (29/55) in the control group (P<0.01). (2) NRS of each group was re duced at each time point, from 5 min to 8 h after acupuncture (all P<0.01). (3) NRS score at 30 min after acu puncture in the control group was obviously lower than that in the observation group (P<0.05), but the scores in 2 h, 4 h, 6 h and 8 h after acupuncture in the observation group were lower apparently than those in the control group (all P<0. 01). The differences in the scores in 5 min, 10 min, 20 min and 1 h after acupuncture were not significant (all P>0. 05). (4) For the reducing amplitude of NRS score at the same time point after acupuncture, the results in 20 min, 30 min and 1 h in the control group were higher apparently than those in the observation group (all P<0. 05). But, in 2 h, 4 h, 6 h and 8 h, the results in the observation group were higher apparently than those in the control group (all F<0.05). The differences in 5 min and 10 min after acupuncture were not significant (both P>0. 05). (5) In 24 h after acupuncture, the recurrence rate of migraine was 12. 7% (7/55) in the observation group, which was lower obviously than 34. 5% (19/55) in the control group (P<0. 05). The adverse reaction was not found in the two groups.CONCLUSION: EA at the shaoyang meridian points achieves the definite immediate analgesia effect on acute migraine and presents the time effectiveness of analgesia.","Zhang H, Hu Y, Wu J, Zheng H",Zhongguo Zhen Jiu. 2015 Feb;35(2):127-31.,[Timeliness law on the immediate analgesia on acute migraine treated with electroacupuncture at shaoyang meridian points].,https://www.ncbi.nlm.nih.gov/pubmed/25854016
"AbstractOBJECTIVE: To investigate the modulatory effect of acupuncture treatment on the resting-state functional connectivity of brain regions in migraine without aura (MWoA) patients.METHODS: Twelve MWoA patients were treated with standard acupuncture treatment for 4 weeks. All MWoA patients received resting-state functional magnetic resonance imaging (fMRI) scanning before and after acupuncture treatment. Another 12 normal subjects matched in age and gender were recruited to serve as healthy controls. The changes of restingstate functional connectivity in MWoA patients before and after the acupuncture treatment and those with the healthy controls were compared.RESULTS: Before acupuncture treatment, the MWoA patients had significantly decreased functional connectivity in certain brain regions within the frontal and temporal lobe when compared with the healthy controls. After acupuncture treatment, brain regions showing decreased functional connectivity revealed significant reduction in MWoA patients compared with before acupuncture treatment.CONCLUSIONS: Acupuncture treatment could increase the functional connectivity of brain regions in the intrinsic decreased brain networks in MWoA patients. The results provided further insights into the interpretation of neural mechanisms of acupuncture treatment for migraine.","Zhang Y, Li KS, Liu HW, Fu CH, Chen S, Tan ZJ, Ren Y",Chin J Integr Med. 2016 Apr;22(4):293-301. doi: 10.1007/s11655-015-2042-4. Epub  2015 Apr 6.,Acupuncture treatment modulates the resting-state functional connectivity of brain regions in migraine patients without aura.,https://www.ncbi.nlm.nih.gov/pubmed/25847772
"AbstractThe purpose of this study is to contribute to efforts to understand the pathophysiology of migraine and create an alternative perspective for prophylaxis and treatment of migraine attacks. Acupuncture treatment was applied to the 22 volunteer migraine patients. The acupuncture treatment consists of 5 sessions with 2 sessions per week. Blood samples have been collected before performing acupuncture, after the 1st session and after the 5th session of the acupuncture. And for the control group blood samples were collected only once. In our study the mean serum NO levels in healthy people were (3.58 ± 0.53) while patients with migraine group were (5.55 ± 0.70) respectively. Serum NO levels were 55% higher in migraine group compared to the control group. The NO concentration also decreased after 5th session (30%) (p < 0.05). After the 1st sessions NO level decreased 4.86% in the migraine group. After the 5th session NO level decreased 30.63% in the migraine group. After the 5th session NO level decreased 27.08% compared to 1st session in the migraine group. After the 1st session of acupuncture treatment, level of NO in migraine group were 4.86% and it is reduced but statistically not significant. After the 5th acupuncture treatment serum NO levels were reduced to (3.85 ± 0.62) 30.63% in migraine group and were statistically lower (p < 0.05). After the 5th session NO level decreased 27.08% compared to 1st session in the migraine group. In this study, acupuncture treatment is appeared to be effective by lowering the levels of serum NO and acupuncture has cumulative effects. Although there are earlier studies showing the effect of NO in migraine, this has been the 1st study in this field, which shows the effect of acupuncture on NO in migraine patients.","Gündüztepe Y, Mit S, Geçioglu E, Gurbuz N, Salkaci O, Severcan C, Cevik C",Acupunct Electrother Res. 2014;39(3-4):275-83.,The impact of acupuncture treatment on nitric oxide (NO) in migraine patients.,https://www.ncbi.nlm.nih.gov/pubmed/25693309
"AbstractBACKGROUND: Migraine is a complex and multifactorial brain disorder affecting approximately 18% of women and 5% of men in the United States, costing billions of dollars annually in direct and indirect healthcare costs and school and work absenteeism and presenteeism. Until this date, there have been no medications that were designed with the specific purpose to decrease the number of migraine attacks, which prompts a search for alternative interventions that could be valuable, such as acupuncture.METHODS: Acupuncture origins from ancient China and encompasses procedures that basically involve stimulation of anatomical points of the body.RESULTS: This manuscript reviews large and well-designed trials of acupuncture for migraine prevention and also the effectiveness of acupuncture when tried against proven migraine preventative medications.CONCLUSION: Acupuncture seems to be at least as effective as conventional drug preventative therapy for migraine and is safe, long lasting, and cost-effective. It is a complex intervention that may prompt lifestyle changes that could be valuable in patients' recovery.© 2015 American Headache Society.",Da Silva AN,Headache. 2015 Mar;55(3):470-3. doi: 10.1111/head.12525. Epub  2015 Feb 16.,Acupuncture for migraine prevention.,https://www.ncbi.nlm.nih.gov/pubmed/25683754
"AbstractBACKGROUND: Over the past 4000 years, acupuncture has survived the test of time. Recent scientific studies posit acupuncture is an effective intervention for back and joint pain and headache, including migraine.METHODS: The process of acupuncture is explained, including the role of Qi, the integration of Yang and Yin, the 5 elements, the 8 trigrams, and the metaphors that help the acupuncturist understand the patient, interpret symptoms, and determine acupuncture points in the meridians used to prevent or treat disease. A case study is presented from 3 perspectives: allopathic, traditional acupuncture, and Western acupuncture.RESULTS: Selected acupuncture studies in headache are reviewed. The safety of acupuncture is discussed as well as the challenges in conducting clinical studies of acupuncture.© 2015 American Headache Society.","Cady RK, Farmer K",Headache. 2015 Mar;55(3):457-64. doi: 10.1111/head.12523. Epub  2015 Feb 16.,Acupuncture in the treatment of headache: a traditional explanation of an ancient art.,https://www.ncbi.nlm.nih.gov/pubmed/25683658
"AbstractChronic post-traumatic headache (PTH) is one of the most common complaints after mild traumatic brain injury, yet evidence to date is insufficient to direct conventional treatment of headaches with this etiology. Therefore, the current guidelines recommend a symptomatic approach for the three patterns of PTHs: migraine-like, tension-like, and mixed symptomatology. To improve response rates and minimize the potential for polypharmacy, adverse effects, and risk of dependency, effective nonpharmacologic options should be employed to support faster and safer patient rehabilitation. Current evidence shows that acupuncture is at least as effective as drug therapy for migraine prophylaxis and neurovascular and tension-type headaches. Because of its safety, cost-effectiveness, and long-lasting benefits, adjunctive acupuncture should be offered to patients with chronic PTHs and may be a valuable primary treatment alternative for those with contraindications to pharmacotherapy. Future head-to-head, adequately powered, well-controlled randomized clinical trials are needed to investigate acupuncture efficacy for PTHs.",Khusid MA,Mil Med. 2015 Feb;180(2):132-6. doi: 10.7205/MILMED-D-14-00195.,Clinical indications for acupuncture in chronic post-traumatic headache management.,https://www.ncbi.nlm.nih.gov/pubmed/25643378
"AbstractOBJECTIVE: To study whether a higher expectation of acupuncture measured at baseline and after acupuncture is associated with better outcome improvements in patients with migraine.METHODS: We performed a secondary analysis of a previous published trial in which 476 patients with migraine were randomly allocated to three real acupuncture groups and one sham acupuncture control group. All the participants received 20 sessions of acupuncture over a 4-week period. The primary outcome was the number of days with a migraine attack (NDMA) assessed at 5-8 weeks after randomisation. The secondary outcomes were visual analogue scale, headache intensity and quality of life assessed at 4, 8 and 16 weeks after randomisation. Expectations of the acupuncture effect were assessed at baseline and at the end of treatment and categorised into five levels, with 0% the lowest and 100% the highest. Outcome improvement was first compared among the participants with different expectation levels using an analysis of variance model. The association between expectations of treatment and outcome improvement was then calculated using a logistic regression model.RESULTS: Patients with 100% baseline expectations did not report significantly fewer NDMA than those with 0% baseline expectations after adjusting for the covariates (at 5-8 weeks, 1.7 vs 3.9 days, p=0.987). High baseline expectations had no significant impact on improvement of the primary outcome (100% vs 0%: OR 8.50, 95% CI 0.89 to 191.65, p=0.682). However, patients with 100% post-treatment expectations reported fewer NDMA than those with 0% expectations (primary outcome: 1.3 vs 5.0 days, p<0.001) and were more likely to have a favourable response (100% vs 0%: OR 68.87, 95% CI 6.26 to 1449.73, p=0.002). Similar results were found when analysing the impact of expectation on the secondary outcomes.CONCLUSIONS: A high level of expectation after acupuncture treatment rather than at baseline was associated with better long-term outcome improvements in patients with migraine.CLINICAL TRIAL NUMBER: NCT00599586.Published by the BMJ Publishing Group Limited. For permission to use (where not already granted under a licence) please go to http://group.bmj.com/group/rights-licensing/permissions.","Zheng H, Huang W, Li J, Zheng Q, Li Y, Chang X, Sun G, Liang F",Acupunct Med. 2015 Apr;33(2):121-8. doi: 10.1136/acupmed-2014-010679. Epub  2014 Dec 30.,Association of pre- and post-treatment expectations with improvements after acupuncture in patients with migraine.,https://www.ncbi.nlm.nih.gov/pubmed/25549933
"AbstractOBJECTIVE: To observe and evaluate the clinical effect of acupuncture at ""Siguan"" combined with the Gallbladder Meridian acupoints on migraine.METHODS: With randomized controlled trial design, 87 patients were randomly divided into an observation group (42 cases) and a control group (45 cases). The observation group was treated with acupuncture at ""Siguan"" including Hegu (LI 4) and Taichong (LR 3), combined with the Gallbladder Meridian acupoints including Fengchi (GB 20), Shuaigu (GB 8), Qiuxu (GB 40) and Zulinqi (GB 41), while the control group was treated with acupuncture at the Gallbladder Meridian acupoints, including Fengchi (GB 20), Shuaigu (GB 8), Qiuxu (GB 40), Zulinqi (GB 41), Yanglingquan (GB 34) and Hanyan (GB 4). The treatment was given every other day in two groups, 3 times per week for totally 6 weeks. The migraine intensity, migraine frequency and lasting time of each migraine were observed before and after treatment, and 3-month follow-up was performed after treatment. The clinical efficacy in two groups was evaluated.RESULTS: Compared with those before treatment, the migraine intensity, frequency and lasting time were all reduced significantly after treatment in the two groups (all P<0.01), which were more obvious in the observation group (all P<0.05). At the end of the treatment, the total effective rate was 95.2% (40/42) in the observation group and 80.0% (36/45) in the control group, which had statistical difference (P<0.05). After 3-month follow-up, the total effective rate was 88.1% (37/42) in the observation group and 75.6% (34/45) in the control group, which had no statistical difference (P>0.05).CONCLUSION: The ""Siguan"" combined with the Gallbladder Meridian acupoints could significantly relieve the migraine intensity, frequency and lasting time, and its improvement of symptoms and short-term efficacy are superior to those of the Gallbladder Meridian acupoints alone.","Lin XM, Yao X, Di Z",Zhongguo Zhen Jiu. 2014 Oct;34(10):947-50.,"[Acupuncture at ""Siguan"" combined with Gallbladder Meridian acupoints for migraine: a randomized controlled trial].",https://www.ncbi.nlm.nih.gov/pubmed/25543418
"AbstractBACKGROUND: Acupuncture has analgesic effect to most pain conditions. Many neuroimaging studies were conducted to explore acupoint specificity in pain and other condition, but till now there is still discrepancy. Based on our previous finding, this study investigated the brain metabolism changes of acupuncture analgesia induced by sub-specific acupoint and non-acupoint stimulation.METHODS: 30 migraineurs were included and randomly assigned to 3 groups: Acupuncture Group (AG), Sham Acupuncture Group (SAG) and Migraine Group (MG). In AG, a combination sub-specific points of Shaoyang meridians, Luxi (TE19), San Yangluo (TE8), and Xi Yangguan (GB33) has been stimulated with electroacupuncture, while non-acupoints for SAG were used and MG received no treatment. Positron emission tomography with computed tomography (PET-CT) was used to identify differences in brain glucose metabolism between groups.RESULTS: In the AG, brain glucose metabolism increase compared with the MG was observed in the middle frontal gyrus, postcentral gyrus, the precuneus, parahippocampus, cerebellum and middle cingulate cortex (MCC), and decrease were observed in the left hemisphere of Middle Temporal Cortex (MTC).In the SAG, compared with MG, glucose metabolism increased in the poster cingulate cortex (PCC), insula, inferior temporal gyrus, MTC, superior temporal gyrus, postcentral gyrus, fusiform, inferior parietal lobe, superior parietal lobe, supramarginal gyrus, middle occipital lobe, angular and precuneus; while, decreased in cerebellum, parahippocampus.CONCLUSIONS: Acupuncture stimulation at both sub-specific acupoint and non-acupoint yields ameliorating effect to migraine pain, but with evidently differed central mechanism as measured by PET-CT. The pattern of brain glucose metabolism change in acupoint is pertinent and targeted, while in non-acupoint that was disordered and randomized. These finding may provide new perspectives into the validation of acupoint specificity, optimizing acupuncture analgesia and revealing central mechanism of acupuncture analgesia by neuroimaging measurement.TRIAL REGISTRATION: This trial was registered in the Chinese Clinical Trial Registry, with registration no. ChiCTR-TRC-11001813.","Yang M, Yang J, Zeng F, Liu P, Lai Z, Deng S, Fang L, Song W, Xie H, Liang F",J Transl Med. 2014 Dec 12;12:351. doi: 10.1186/s12967-014-0351-6.,Electroacupuncture stimulation at sub-specific acupoint and non-acupoint induced distinct brain glucose metabolism change in migraineurs: a PET-CT study.,https://www.ncbi.nlm.nih.gov/pubmed/25496446
"AbstractMigraine is a painful condition in which patients suffer from recurrent episodes of disabling pain, which could be very severe and can lead to grave psychological disturbances. There is no curative treatment for migraine, but there are various treatment modalities, though, with conflicting reports on their efficacy. This study was conducted to compare the effectiveness of electro acupuncture therapy and the conventional drug therapy on the psychological profile of migraneurs based on the assessment of quality of life and disability parameters. Migraneurs (n = 60) were recruited from the Psychiatry and Neurology OPD, Guru Tegh Bahadur Hospital, Delhi. Following a written consent, migraneurs were randomly allocated into 2 study groups--Group A received 10 sittings of electro acupuncture on selected acupuncture points over a period of 30 days, while for the same duration the Group D received a conventional drug therapy in the form of oral flunarizine 20 mg OD along with paracetamol 500 mg SOS. The patients were assessed twice, before and after completion of the treatment programme (30 days). The quality of life was assessed with WHOQOL BREF (WHO Quality of Life Biomedical Research and Education Foundation) questionnaire and the disability was assessed with MIDAS (Migraine Disability Assessment) questionnaire. Statistical analysis was performed using repeated measure's ANOVA with Tukey's test. Migraneurs were found to have lower quality of life and higher disability scores but following the treatment regimes, the 2 study groups showed a significant improvement in both the parameters studied. It was however observed, that the acupuncture group showed a better response and was thus found to be more effective as compared to the drug group (P = 0.005 to 0.000). We thus conclude that acupuncture is a better treatment option than the conventional drug therapy in not only relieving the pain of migraine but in also improving the psychological profile in migraneurs. Hence its use should be encouraged as an alternative/adjunct treatment for migraine.","Vijayalakshmi I, Shankar N, Saxena A, Bhatia MS",Indian J Physiol Pharmacol. 2014 Jan-Mar;58(1):69-76.,Comparison of effectiveness of acupuncture therapy and conventional drug therapy on psychological profile of migraine patients.,https://www.ncbi.nlm.nih.gov/pubmed/25464680
"AbstractShaoyang acupoints are the most frequently used in migraine treatment. However, the central analgesic mechanism remains poorly understood. Studies have demonstrated that single stimulus of the verum acupuncture in healthy subjects can induce significant connectivity or activity changes in pain-related central networks compared with sham acupuncture. However, these findings are not indicative of the central analgesic mechanism of acupuncture at Shaoyang acupoints. Thus, we recruited 100 migraine sufferers and randomly assigned them into five groups: Shaoyang uncommon acupoint, Shaoyang common acupoint, Yangming uncommon acupoint, non-acupoint control, and blank control groups. Subjects were subjected to evaluation of curative effects and functional MRI prior to and after 10 and 20 acupuncture treatments. All subjects were diagnosed by physicians and enrolled following clinical physical examination. Subjects were observed during 1-4 weeks after inclusion. At the fifth week, the first clinical evaluation and resting functional MRI were conducted. The Shaoyang mon acupoint, Shaoyang common acupoint, Yangming uncommon acupoint, and non-acupoint control grousp then were treated with acupuncture, five times per week, 20 times in total over 4 weeks. The second and third clinical evaluations and resting functional MRI screenings were conducted following 10 and 20 acupuncture treatments. The blank control group was observed during the 5 to 8 week period, followed by clinical evaluation and resting functional MRI. The aim of this study was to examine changes in brain functional activity and central networks in subjects with migraine undergoing acu-puncture at Shaoyang uncommon acupoints. This study provides a further explanation of the central analgesic mechanism by which acupuncture at Shaoyang acupoints treats migraine.","Lan L, Gao Y, Zeng F, Qin W, Dong M, Liu M, Guo T, Liang F",Neural Regen Res. 2013 Oct 5;8(28):2649-55. doi: 10.3969/j.issn.1673-5374.2013.28.007.,A central analgesic mechanism of acupuncture for migraine: An ongoing functional MRI study.,https://www.ncbi.nlm.nih.gov/pubmed/25206576
Not found,"Castro MM, Tanus-Santos JE",Acupunct Med. 2014 Oct;32(5):373-5. doi: 10.1136/acupmed-2014-010649. Epub  2014 Sep 5.,Targeting matrix metalloproteinases in disease conditions.,https://www.ncbi.nlm.nih.gov/pubmed/25193929
